eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius
5,9.238562,2.9754376,0.007420264,0,4.846939,10.446508,8.16483,2.1348798,2.7782466,3.402508,2.1376243,2.7816224,3.4037585,1.6351986,2.2376091,2.2376091,25.038334,23.180609,87.401825,69.89208,9.435535,12.780244
5,16.407953,4.364063,0.012298083,2,6.122449,16.284922,15.971749,2.8562338,3.2632573,3.5955923,2.9294379,3.311762,3.6244566,2.6328108,3.271514,3.271514,16.475473,19.957888,72.701515,87.88927,21.235514,21.2233
5,12.248843,5.951606,0.022261184,0,11.22449,5.905521,21.183819,0.13703062,1.8662428,2.5996916,2.0380983,2.6225944,3.2153413,0.92555803,1.9574736,4.8337865,17.222242,14.894464,108.60196,89.236946,22.71784,24.796194
5,7.790651,9.960501,0.015730439,0,44.89796,5.21207,5.6818266,0.053682506,1.1166707,3.1868696,0.97686857,2.4962134,4.6867795,0.523096,2.014492,7.6455584,12.107825,11.925206,334.00836,119.25426,19.6619,18.0152
4,7.0239916,4.48425,0.008579891,2,11.734694,4.0264916,7.6727033,1.0950408,1.377583,1.6037513,1.5428973,1.8817415,2.1793842,1.2750857,1.359575,1.6644759,18.263924,18.616688,84.7053,84.220665,10.279749,10.620397
4,14.208296,5.1985,0.01973381,2,13.010204,14.092721,16.128336,1.4058408,1.9917576,2.904758,1.7819215,2.152784,2.9739661,1.7817674,2.1873362,2.5974512,17.331923,16.773895,76.1,87.86474,15.080942,21.748058
4,11.654456,4.4445004,0.010751227,2,12.5,9.283299,13.444008,1.4762216,1.8840494,2.251668,1.4924438,1.913834,2.297892,2.1470637,2.5157633,2.5157633,15.772301,18.845024,76.50001,84.50455,10.664836,13.957706
5,16.07987,5.9522505,0.021670476,2,33.418365,16.240183,2.3487866,1.0762212,1.4212247,1.8969235,1.812643,2.2614253,2.8246005,0.24992444,0.7304007,1.5495228,2.5704556,13.81909,17.599998,82.803055,21.175135,107.804504
4,18.823849,3.6905003,0.015599952,2,11.224489,14.830912,23.398394,1.5809737,1.7708824,1.9450785,1.6104922,1.7788084,1.9537038,1.0331285,2.3207717,2.3207717,8.291558,9.638238,36.903076,35.952393,45.60622,56.654137
5,41.814,3.84925,0.033059556,2,19.132652,42.680813,41.47286,1.6963793,1.9502338,2.285473,1.8363545,2.0833886,2.3163528,2.1151423,2.367109,2.367109,5.377672,6.6628113,26.200005,25.911228,126.90105,162.65591
5,31.25005,5.2778754,0.034495343,2,6.632653,30.8474,32.883015,1.9741006,2.2816336,2.5387762,2.0469217,2.3354921,2.5761225,2.3090084,2.4958234,2.515999,7.105131,8.456037,42.40133,44.96547,81.86946,93.58058
5,23.211979,5.7145004,0.033357143,2,10.969387,23.756302,24.360273,2.3676033,2.640419,3.0228004,2.3892562,2.7193117,3.0677776,1.7025404,2.7657313,3.5408373,10.867092,11.800426,64.50082,67.901825,47.752323,56.39352
