init_time,eventAction,payloadCreation,eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,eventSpeedChange,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius,validity_mean,speed_gap,aggressive
497102102.1,1,1,168783.08,176716.3,5,15.201249,7.933219,0.03602063,41.82262,-87.87064,41.82247,-87.87116,0,15.306123,18.007366,17.738934,-1,0.7765442,1.1232921,1.4181156,0.93377674,1.1392074,1.4769051,1.45389,1.6984041,3.1568668,14.533823,4.2149415,123.303375,33.605244,182.64848,32.868797,1,-0.26843200000000067,0
497102102.1,1,1,81756.055,83739.39,4,16.650288,1.9833361,0.009135771,41.834225,-87.87418,41.83411,-87.87425,0,8.67347,14.182199,20.73643,-1,0.7980175,0.91278934,1.0793359,1.5150537,1.6329392,1.8508929,2.5567687,6.099395,6.099395,29.999958,5.9075737,67.40448,11.951038,72.03542,17.661345,1,6.554230999999998,0
497102102.1,1,1,30783.059,34710.203,5,7.122416,3.9271448,0.005471371,41.8346,-87.8682,41.834545,-87.86821,0,9.183674,15.166451,0.022369398,-1,0.3348894,0.467618,0.66042566,1.9738691,2.594234,3.302151,0.5442663,0.62714976,1.0557562,8.963258,0.011354961,40.500793,0.045043007,45430.44,17.188272,1,-15.144081602,0
687911173.4,1,1,69543.1,70495.26,4,12.504493,0.9521563,0.003068156,41.817154,-87.86998,41.817116,-87.87001,0,11.479591,11.632087,13.376901,-1,0.23657706,0.27473465,0.30555996,1.2428336,1.4704628,1.5153694,2.822017,2.822017,2.822017,15.333608,19.676603,60.0,19.515835,1.8382682,15.014714,1,1.7448139999999999,0
6119107.978,1,1,1712267.4,1717783.5,4,25.44892,5.516125,0.018289572,41.82226,-87.871895,41.8223,-87.871605,0,16.581633,26.888016,15.703318,-1,1.0179846,2.1885996,3.0761273,1.3469753,2.5945508,3.2250764,3.0023046,3.6939774,4.5147223,14.575449,14.7037735,85.102135,81.69137,14.524422,38.241302,1,-11.184698000000001,0
6119107.978,1,1,1701632.2,1705719.6,5,18.997211,4.087375,0.009306922,41.821774,-87.87254,41.8219,-87.87249,1,13.010204,16.150705,20.244307,-1,1.044087,1.7954518,2.3122354,2.2638881,2.493808,2.9594383,3.5647917,4.763687,4.763687,18.64277,21.503347,78.80001,88.74557,5.307482,23.578144,1,4.093602000000001,0
6119107.978,1,1,1649210.2,1653892.9,4,19.389793,4.6826253,0.02015866,41.81816,-87.87251,41.818398,-87.87238,1,13.265306,17.090221,24.673449,-1,1.7482495,2.0799088,2.545123,2.6116943,2.9641993,3.2419624,2.6818702,3.8885942,6.8259907,21.291475,20.363525,106.80335,96.16284,12.263102,22.917694,1,7.583228000000002,0
6119107.978,1,1,1129809.9,1131774.2,5,5.8756957,1.9643751,0.002826722,41.810814,-87.94561,41.810806,-87.94556,0,10.204082,1.8566601,10.021491,-1,2.3570542,3.2023568,4.769437,2.739069,3.6107783,5.1865587,0.31434283,5.801598,5.801598,37.772823,2.9224808,95.899994,5.798837,11.144644,3.459275,1,8.164830899999998,0
6119107.978,1,1,942795.44,945771.25,4,18.471529,2.9758127,0.01529409,41.810158,-87.97588,41.81007,-87.975624,0,9.693877,17.537607,19.819286,-1,0.9076266,1.105298,1.2672815,1.1604494,1.448224,1.6427553,2.927816,3.6647785,3.6647785,22.850903,9.377919,81.100006,28.092976,29.795628,22.769201,1,2.2816790000000005,0
6119107.978,1,1,936804.06,938788.0,5,7.143295,1.9839376,0.003188541,41.810493,-87.97597,41.810448,-87.97596,0,12.755102,6.8002973,8.120091,-1,0.029702663,0.14600897,0.25094175,0.18604232,0.27210185,0.68451077,1.3747762,1.7933127,1.7933127,11.744323,0.10953443,57.1,0.21948256,8602.011,9.584243,1,1.3197937,0
